date,prev_settlement,low,high,prev_close,limit_up,open,total_turnover,limit_down,close,open_interest,settlement,volume,dominant_id,pos,base_balance,chg,strategy_balance,drawdown,return,empty,long,short
2020-01-02,91.245,91.03,91.215,98.135,93.205,91.18,34390924200.0,89.285,91.105,76631,91.08,35081,T2003,0.0,1.0,,1.0,0.0,0.0,91.105,,
2020-01-03,91.08,90.95,91.165,98.015,93.035,91.1,33623278450.0,89.125,91.065,76547,91.095,34318,T2003,0.0,0.999560946161023,-0.00043905383897702155,1.0,0.0,0.0,91.065,,
2020-01-06,91.095,91.085,91.365,97.975,93.055,91.145,33486547650.0,89.135,91.27,76922,91.31,34127,T2003,0.0,1.00181109708578,0.0022511392961070964,1.0,0.0,0.0,91.27,,
2020-01-07,91.31,91.08,91.24,98.18,93.27,91.215,35108989550.0,89.35,91.095,75532,91.115,35800,T2003,0.0,0.9998902365402557,-0.0019173879697600427,1.0,0.0,0.0,91.095,,
2020-01-08,91.115,91.045,91.24,98.005,93.075,91.21,37062182600.0,89.155,91.2,73688,91.185,37795,T2003,0.0,1.0010427528675703,0.001152642845381191,1.0,0.0,0.0,91.2,,
2020-01-09,91.185,91.01,91.48,98.11,93.145,91.13,57098342950.0,89.225,91.32,77995,91.37,58162,T2003,0.0,1.0023599143845012,0.001315789473684159,1.0,0.0,0.0,91.32,,
2020-01-10,91.37,91.32,91.665,98.23,93.335,91.355,43640559900.0,89.405,91.65,79216,91.6,44323,T2003,0.0,1.0059821085560616,0.0036136662286465615,1.0,0.0,0.0,91.65,,
2020-01-13,91.6,91.545,91.675,98.56,93.57,91.64,26300072150.0,89.63,91.59,78046,91.575,26698,T2003,0.0,1.0053235277975963,-0.000654664484451728,1.0,0.0,0.0,91.59,,
2020-01-14,91.575,91.45,91.565,98.5,93.54,91.53,35214500100.0,89.61,91.53,76378,91.545,35781,T2003,0.0,1.0046649470391307,-0.0006550933508024936,1.0,0.0,0.0,91.53,,
2020-01-15,91.545,91.5,91.715,98.44,93.51,91.6,37284031050.0,89.58,91.615,74856,91.63,37848,T2003,0.0,1.0055979364469567,0.0009286572708400165,1.0,0.0,0.0,91.615,,
2020-01-16,91.63,91.45,91.65,98.525,93.6,91.585,42875085750.0,89.66,91.54,73990,91.555,43538,T2003,0.0,1.004774710498875,-0.000818643235277916,1.0,0.0,0.0,91.54,,
2020-01-17,91.555,91.44,91.74,98.45,93.52,91.54,47253123200.0,89.59,91.71,74156,91.7,47964,T2003,0.0,1.006640689314527,0.0018571116451822078,1.0,0.0,0.0,91.71,,
2020-01-20,91.7,91.75,92.01,98.62,93.67,91.775,33207041950.0,89.73,92.005,73078,91.975,33605,T2003,0.0,1.0098787113769825,0.0032166612146984352,1.0,0.0,0.0,92.005,,
2020-01-21,91.975,91.96,92.28,98.915,93.95,91.99,40775090000.0,90.0,92.255,71089,92.235,41159,T2003,0.0,1.0126227978705888,0.0027172436280635814,1.0,0.0,0.0,92.255,,
2020-01-22,92.235,92.22,92.535,99.165,94.215,92.455,32799874100.0,90.255,92.22,68382,92.245,33043,T2003,0.0,1.012238625761484,-0.0003793832312611878,1.0,0.0,0.0,92.22,,
2020-01-23,92.245,92.33,92.79,99.13,94.225,92.415,37472739650.0,90.265,92.78,66494,92.7,37670,T2003,0.0,1.018385379507162,0.006072435480372951,1.0,0.0,0.0,92.78,,
2020-02-03,92.7,93.885,94.595,99.69,94.69,93.99,52792854800.0,90.71,94.06,57874,94.12,52196,T2003,0.0,1.0324351023544263,0.013796076740676844,1.0,0.0,0.0,94.06,,
2020-02-04,94.12,93.87,94.075,100.97,96.14,94.055,33938346900.0,92.1,93.875,56434,93.93,33651,T2003,0.0,1.0304044783491575,-0.0019668296831809595,1.0,0.0,0.0,93.875,,
2020-02-05,93.93,93.67,93.995,100.785,95.945,93.74,39291589350.0,91.915,93.955,55062,93.95,39011,T2003,0.0,1.0312825860271115,0.0008521970705726023,1.0,0.0,0.0,93.955,,
2020-02-06,93.95,93.825,94.065,100.865,95.965,93.89,34774377650.0,91.935,94.0,53963,93.97,34478,T2003,0.0,1.0317765215959607,0.00047895269011766217,1.0,0.0,0.0,94.0,,
2020-02-07,93.97,94.025,94.275,100.91,95.985,94.04,35055671450.0,91.955,94.27,53646,94.23,34681,T2003,0.0,1.0347401350090555,0.0028723404255319718,1.0,0.0,0.0,94.27,,
2020-02-10,94.23,94.135,94.39,101.18,96.25,94.39,34612466850.0,92.21,94.17,49476,94.18,34211,T2003,0.0,1.033642500411613,-0.0010607828577489098,1.0,0.0,0.0,94.17,,
2020-02-11,94.18,93.775,94.17,101.08,96.2,94.13,46305869050.0,92.16,93.82,42887,93.88,45899,T2003,0.0,1.0298007793205641,-0.003716682595306442,1.0,0.0,0.0,93.82,,
2020-02-12,93.88,93.695,93.95,100.73,95.895,93.77,35899148600.0,91.865,93.805,39174,93.875,35641,T2003,0.0,1.029636134130948,-0.00015988062246841128,1.0,0.0,0.0,93.805,,
2020-02-13,93.875,93.74,93.98,100.715,95.89,93.86,34944184050.0,91.86,93.96,36235,93.935,34674,T2003,0.0,1.0313374677569835,0.001652363946484492,1.0,0.0,0.0,93.96,,
2020-02-14,93.935,93.465,93.985,100.87,95.95,93.95,38332928800.0,91.92,93.48,33321,93.615,38085,T2003,0.0,1.0260688216892597,-0.005108556832694622,1.0,0.0,0.0,93.48,,
2020-02-17,94.15,93.33,93.725,100.39,95.63,93.585,28325603300.0,91.63,93.37,42368,93.405,28353,T2006,0.0,1.024861423632073,-0.0011767222935387123,1.0,0.0,0.0,93.37,,
2020-02-18,93.405,93.475,93.79,99.745,95.4,93.505,32906531600.0,91.41,93.735,45409,93.705,32910,T2006,0.0,1.028867789912738,0.003909178537003344,1.0,0.0,0.0,93.735,,
2020-02-19,93.705,93.675,93.835,100.11,95.705,93.69,32133125600.0,91.705,93.725,49802,93.755,32091,T2006,0.0,1.0287580264529936,-0.00010668373606448345,1.0,0.0,0.0,93.725,,
2020-02-20,93.755,93.405,93.7,100.1,95.755,93.67,47315123500.0,91.755,93.51,52637,93.455,47349,T2006,0.0,1.0263981120684924,-0.002293945052013746,1.0,0.0,0.0,93.51,,
2020-02-21,93.455,93.66,93.925,99.885,95.45,93.665,47526470200.0,91.46,93.855,55381,93.83,47436,T2006,0.0,1.030184951429669,0.0036894449791466943,1.0,0.0,0.0,93.855,,
2020-02-24,93.83,94.005,94.195,100.23,95.83,94.055,42894941900.0,91.83,94.095,58611,94.105,42692,T2006,1.0,1.032819274463531,0.002557136007671268,1.0,0.0,0.0,,94.095,
2020-02-25,94.105,93.985,94.215,100.47,96.11,94.215,43850535350.0,92.1,94.075,58069,94.045,43646,T2006,1.0,1.0325997475440425,-0.0002125511451191997,0.9997874488548808,-0.0002125511451191997,-0.00021257373731523358,,94.075,
2020-02-26,94.045,93.91,94.245,100.45,96.05,94.175,50392603250.0,92.04,94.06,58711,94.005,50166,T2006,1.0,1.0324351023544263,-0.00015944724953498302,0.9996280354960413,-0.0003719645039587105,-0.00015945996259906852,,94.06,
2020-02-27,94.005,94.085,94.35,100.435,96.01,94.175,48871678550.0,92.0,94.25,60878,94.29,48591,T2006,1.0,1.034520608089567,0.0020199872421857723,1.0016472713746745,0.0,0.0020179498112181562,,94.25,
2020-02-28,94.29,94.425,94.74,100.625,96.3,94.47,60677049300.0,92.28,94.735,64307,94.635,60104,T2006,1.0,1.039844135887163,0.005145888594164427,1.0068016366438173,0.0,0.005132693756205322,,94.735,
2020-03-02,94.635,94.41,94.865,101.11,96.655,94.83,58638549900.0,92.615,94.555,64454,94.495,58093,T2006,1.0,1.0378683936117667,-0.0019000369451627197,1.0048886763377438,-0.0019000369451626087,-0.001901844305089047,,94.555,
2020-03-03,94.495,94.215,94.525,100.93,96.51,94.335,49948436700.0,92.48,94.42,64395,94.425,49591,T2006,1.0,1.0363865869052191,-0.0014277404685104633,1.0034539561081885,-0.003325064654034815,-0.0014287606610956225,,94.42,
2020-03-04,94.425,94.635,94.885,100.795,96.44,94.675,59289816750.0,92.41,94.845,69628,94.805,58620,T2006,1.0,1.0410515339443498,0.004501165007413599,1.0079706679419735,0.0,0.00449106506054545,,94.845,
2020-03-05,94.805,94.65,94.85,101.22,96.825,94.775,44353355150.0,92.785,94.79,70106,94.785,43863,T2006,1.0,1.0404478349157567,-0.000579893510464391,1.0073861522928955,-0.000579893510464391,-0.0005800617137359307,,94.79,
2020-03-06,94.785,94.885,95.145,101.165,96.805,94.92,55427538400.0,92.765,95.105,73129,95.075,54666,T2006,1.0,1.0439053838977004,0.0033231353518303752,1.0107338328285245,0.0,0.003317625939854104,,95.105,
2020-03-09,95.075,95.49,95.88,101.48,97.1,95.75,60478561600.0,93.05,95.56,74925,95.605,59262,T2006,1.0,1.048899621316064,0.004784185899795013,1.0155693713799885,0.0,0.004772778052804506,,95.56,
2020-03-10,95.605,94.785,95.45,101.935,97.64,95.385,79742496300.0,93.57,94.825,72838,94.895,78559,T2006,1.0,1.0408320070248613,-0.007691502720803656,1.0077581167968543,-0.007691502720803767,-0.0077212348826462334,,94.825,
